TRKDXSW128F4252190	0	A	unknown
TRFJIFX12903D050BC	0	D	unknown
TRTOUZN12903CB464B	0	Bb	unknown
TRGXZWW128F4233A43	0	D	unknown
TRRYLAO128E0781CD0	0	G	unknown
TRZFVKA128F4293ABA	0	G	unknown
TROBXGX128F4280E83	0	Ab	unknown
TRVIGOJ128F426CA21	0	A	unknown
TRFNTAU128F9336ADF	0	Ab	unknown
TRDKZNV128F427E460	0	Bb	unknown
TROJSFR128F427A412	0	G	unknown
TRLIOCT128F1492AC9	0	Am	unknown
TRZVDUH12903CEDA02	0	Bb	unknown
TRRGGQZ128F42728DA	0	D	unknown
TRBMITH128F4282301	0	G	unknown
TRDUQIS128F4263AE5	0	F	unknown
TRYLOVI128F9341777	0	Eb	unknown
TRQZWCB128F428D5F8	0	G	unknown
TRUHWBH128F421C34D	0	G	unknown
TRPCWDS128F42885DD	0	F	unknown
TRCEXWV128F92CFC50	0	Bb	unknown
TRAGQVJ128F4223449	0	Eb	unknown
TRSUSJC128F427739F	0	E	unknown
TRTDMKE128F426C658	0	Eb	unknown
TRAZCCG128F1463460	0	Ab	unknown
TRWSJMQ128F4262B73	0	G	unknown
TRRAGXR12903CDAE99	0	D	unknown
TRJFSXC128F92CB70B	0	Eb	unknown
TREIEHK128F931E0B8	0	Bb	unknown
TRNKAAB128F92E8DE2	0	F	unknown
TRCISIH128F425D737	0	F	unknown
TRVPLYF128E0785C58	0	A	unknown
TRUWOFE128E0780C2A	0	D	unknown
TRWIOXB128F4295A1A	0	F	unknown
TRTDXFI128F4289BD4	0	F	unknown
TRGYETF128F92D8CCC	0	F	unknown
TRZSCJT128F9328ED7	0	Eb	unknown
TRSGOTW12903CE6823	0	D	unknown
TRPJAGW128F428E2B8	0	Db	unknown
TRBOTNA128F423AC69	0	D	unknown
TRQMFSA128F428F85E	0	Am	unknown
TRRCMCP128E0792EC3	0	F	unknown
TRYVDBO128F9306BDC	0	A	unknown
TRLBYYZ128F930D63D	0	F	unknown
TRCCHKA128E078F141	0	Bb	unknown
TRHXHDL128E0791245	0	E	unknown
TRXGPDL128F422EFE8	0	G	unknown
TRJKFFZ128F424D7F5	0	E	unknown
TRPRERE128F4274BAE	0	D	unknown
TRDPFZI128F4262CC8	0	A	unknown
TRQWREQ12903CCD796	0	D	unknown
TRFLOIB128F9303329	0	A	unknown
TRLUHNM128F14B0FF0	0	A	unknown
TROYRVG128F14A2E6F	0	F	unknown
TRTSLWB128F42675C6	0	F	unknown
TRRPWDK12903CE58B9	0	D	unknown
TRQHGCH128F92DDE82	0	G	unknown
TRADTKC12903D0BB81	0	E	unknown
