Albums-AnaBelen_Veneo-01	100.0	X	Rumba-International
Albums-AnaBelen_Veneo-02	224.0	X	Samba
Albums-AnaBelen_Veneo-03	122.0	X	Rumba-International
Albums-AnaBelen_Veneo-11	214.0	X	Quickstep
Albums-AnaBelen_Veneo-13	135.0	X	Rumba-American
Albums-AnaBelen_Veneo-15	122.0	X	Rumba-International
Albums-Ballroom_Classics4-01	87.0	X	Waltz
Albums-Ballroom_Classics4-02	87.0	X	Waltz
Albums-Ballroom_Classics4-03	87.0	X	Waltz
Albums-Ballroom_Classics4-04	87.0	X	Waltz
Albums-Ballroom_Classics4-05	87.0	X	Waltz
Albums-Ballroom_Classics4-06	128.0	X	Tango
Albums-Ballroom_Classics4-07	128.0	X	Tango
Albums-Ballroom_Classics4-08	128.0	X	Tango
Albums-Ballroom_Classics4-09	128.0	X	Tango
Albums-Ballroom_Classics4-10	128.0	X	Tango
Albums-Ballroom_Classics4-11	174.0	X	VienneseWaltz
Albums-Ballroom_Classics4-12	174.0	X	VienneseWaltz
Albums-Ballroom_Classics4-13	174.0	X	VienneseWaltz
Albums-Ballroom_Classics4-14	174.0	X	VienneseWaltz
Albums-Ballroom_Classics4-18	200.0	X	Quickstep
Albums-Ballroom_Classics4-19	204.0	X	Quickstep
Albums-Ballroom_Classics4-20	204.0	X	Quickstep
Albums-Ballroom_Magic-01	84.0	X	Waltz
Albums-Ballroom_Magic-02	87.0	X	Waltz
Albums-Ballroom_Magic-03	90.0	X	Waltz
Albums-Ballroom_Magic-04	87.0	X	Waltz
Albums-Ballroom_Magic-05	84.0	X	Waltz
Albums-Ballroom_Magic-06	128.0	X	Tango
Albums-Ballroom_Magic-07	128.0	X	Tango
Albums-Ballroom_Magic-08	128.0	X	Tango
Albums-Ballroom_Magic-09	177.0	X	VienneseWaltz
Albums-Ballroom_Magic-10	180.0	X	VienneseWaltz
Albums-Ballroom_Magic-11	180.0	X	VienneseWaltz
Albums-Ballroom_Magic-15	208.0	X	Quickstep
