1642729	128	Cm	Minimal
50823	125	Bm	Minimal
297269	143	Fm	Psy-Trance
297266	145	Fm	Psy-Trance
331595	120	C	Techno
1759353	138	F#m	Psy-Trance
5186642	125	Cm	Chill Out
5054157	134	F	Trance
1152124	128	Gm	House
298430	112	Fm	Breaks
5404068	120	Bbm	Deep House
4974176	156	Fm	Hard Dance
868240	115	Bm	Deep House
190288	125	Bbm	House
6327674	115	Bbm	Hip-Hop
4214391	82	Bm	Electronica
4272275	126	Am	Minimal
2068812	135	Fm	Psy-Trance
4906900	142	Fm	Hard Dance
297657	120	F	Techno
289631	144	G	Hard Dance
503690	128	Dm	Techno
299657	128	Cm	Progressive House
299355	143	G	Trance
5492171	70	Fm	Dubstep
967034	176	Cm	Drum & Bass
4870279	97	Eb	Hip-Hop
2022073	140	C#m	Dubstep
6275472	175	Fm	Drum & Bass
257025	128	Em	Breaks
239972	128	Bb	Hard Dance
5272649	124	Bm	Deep House
298006	125	Cm	Deep House
3916942	89	Cm	Hip-Hop
3476908	128	Bm	Breaks
435271	135	Bm	Trance
6294281	95	F#m	Hip-Hop
6011574	125	Gm	Deep House
1177887	145	Bbm	Hard Dance
299025	126	Am	Tech House
221206	120	G	Minimal
297666	128	Am	Minimal
7217	128	Fm	Progressive House
857189	130	D	House
19613	127	Dm	Progressive House
2741616	125	Gm	Deep House
299503	180	C	Drum & Bass
4376323	145	F	Psy-Trance
3205441	70	Gm	Dubstep
1367983	146	Em	Psy-Trance
3574764	127	G#m	House
68370	126	Dm	Electro House
33961	133	Gm	Techno
793946	127	Eb	Electro House
63014	128	Ab	Progressive House
297580	130	Dm	Electro House
1974069	128	E	Electronica
3705941	92	C	Hip-Hop
299159	127	Am	Progressive House
3905287	125	Cm	Deep House
6131590	140	Fm	Dubstep
3298819	120	C#m	Deep House
6247002	123	G#m	Progressive House
753241	125	Dm	Tech House
4418313	140	Ab	House
460731	91	E	Hip-Hop
4315887	70	Eb	Chill Out
217855	140	Dm	Electronica
299782	135	C#m	Trance
297012	124	Bbm	Chill Out
2046030	95	D	Electronica
316031	140	C#m	House
299059	125	Gm	Tech House
298111	142	Bm	Hard Dance
255261	134	Em	Breaks
299466	135	F	Electronica
298332	125	Dm	House
290580	128	Bbm	Electro House
723438	131	Ebm	Breaks
206180	79	Gm	Electronica
2997186	75	Bm	Hip-Hop
508703	130	E	Deep House
299160	127	Am	Progressive House
3912606	131	B	Trance
4726263	135	Em	Hip-Hop
6313807	124	Gm	Hip-Hop
4408526	142	Cm	Hard Dance
297895	125	Cm	House
805746	128	Gm	Electro House
297161	130	Gm	Trance
1958231	125	C#m	Breaks
299812	140	E	Hard Dance
299468	105	A	Electronica
542876	173	Em	Drum & Bass
6160319	125	Bb	Deep House
760778	140	Db	Techno
4318934	128	B	Electronica
299832	121	Db	Progressive House
1980637	144	Dm	Psy-Trance
675299	130	E	Minimal
297013	132	Gm	Chill Out
4184078	158	Dm	Hard Dance
5066211	140	Cm	Dubstep
299513	107	Db	Electronica
598701	140	Bm	Trance
297129	92	D	Chill Out
3801681	128	C#m	Breaks
628368	133	D	Progressive House
3027735	138	Fm	Psy-Trance
76914	110	Gm	Breaks
40030	127	Em	Tech House
298216	96	F	Chill Out
3093686	85	C	Trance
4975002	76	Db	Hip-Hop
5795173	128	Fm	Minimal
5211090	87	Fm	Drum & Bass
297698	128	Fm	Progressive House
299808	130	Eb	Electro House
3014691	142	B	Electro House
5611816	140	Eb	Chill Out
1298600	95	Ebm	Electronica
159301	135	Bm	Psy-Trance
297721	126	Gm	Electro House
6563157	90	Bm	Hip-Hop
1454669	136	Bbm	Trance
299625	125	C	Tech House
6574410	96	A	Hip-Hop
297818	125	Ab	House
150864	135	Fm	Psy-Trance
19936	138	Am	Trance
457131	130	Em	Electro House
299810	130	Cm	Tech House
